Kode MK,Nama Mata Kuliah,SKS
IF214009,Praktikum Sistem Operasi,1.0
IF216009,Metodologi Penelitian,2.0
IF216002,Proyek Perangkat Lunak,3.0
IF212002,Praktikum Algoritma dan Pemrograman,1.0
IF217004,Sosio Informatika dan Profesionalisme,2.0
IF217005,Kapita Selekta Informatika,2.0
201004-705-01-006,Praktikum Algoritma dan Pemrograman,1.0
IF213002,Praktikum Algoritma dan Struktur Data,1.0
IF216001,Sistem Informasi,3.0
IF211006,Kalkulus I,3.0
IF211004,Fisika Dasar,2.0
UN212506,AlQuran dan Ilmu Tafsir,2.0
UN212509,Bahasa Indonesia,2.0
UN212508,Pancasila dan Kewarganegaraan,2.0
IF212505,Pengetahuan Lingkungan,2.0
UN213508,Hadits dan Ilmu Hadits,2.0
IF213003,Organisasi dan Arsitektur Komputer,3.0
201004-705-01-007,Kalkulus II,3.0
201004-705-02-003,Bahasa Indonesia,2.0
201004-705-03-002,Pengetahuan Lingkungan,2.0
IF215003,Jaringan Komputer,2.0
IF212001,Algoritma dan Pemrograman,3.0
IF214006,Probabilitas dan Statistika,3.0
IF217D01,Penggalian Data,3.0
IF217B02,Kriptografi,3.0
IF211001,Pengenalan Informatika,2.0
IF211002,Dasar Pemrograman,2.0
IF211005,Praktikum Fisika Dasar,1.0
IF211007,Olahraga,2.0
UN211508,Bahasa Arab,2.0
UN211509,Bahasa Inggris I,2.0
UN211510,Ilmu Fiqih,2.0
UN213507,Sejarah Peradaban Islam,2.0
IF214007,Strategi Algoritma,3.0
IF214005,Praktikum Pemrograman Berorientasi Objek,1.0
IF15710P,Sistem Cerdas,3.0
IF217A03,Sistem Informasi Lanjut,3.0
IF217B07,Forensika Digital,3.0
TH213010,Tahfidz,0.0
IF217A05,Visualisasi Data,3.0
UN214510,Akhlaq Tasawuf,2.0
IF217A07,Teknologi Basis Data,3.0
IF217D05,Pemrograman GameTeknologi Game,3.0
IF217C01,Perawatan Perangkat Lunak,3.0
IF214001,Basis Data,2.0
IF213006,Teori Bahasa dan Otomata,3.0
IF214002,Praktikum Basis Data,1.0
IF216005,Sistem Multimedia,2.0
IF216006,Praktikum Sistem Multimedia,1.0
TW211011,Praktek Tilawah,0.0
IF213004,Aljabar Linier,3.0
IF217C02,Pemrograman Paralel,3.0
201004-705-02-001,Pancasila,2.0
IF213005,Logika Komputasional,2.0
IF213001,Algoritma dan Struktur Data,3.0
IF214008,Sistem Operasi,2.0
IF217B01,Sistem Basis Data Terdistribusi,3.0
IF217D03,Pengolahan Citra Digital,3.0
IF217D02,Pembelajaran Mesin Lanjut,3.0
201004-705-03-012,Praktek Ibadah,0.0
201004-705-02-005,Ulumul Quran,2.0
201004-705-03-011,Praktek Tilawah,0.0
201004-705-01-008,Matematika Diskrit,3.0
201004-705-02-013,Fisika Dasar,2.0
201004-705-01-005,Algoritma dan Pemrograman,3.0
IF212003,Kalkulus II,3.0
IF211003,Praktikum Dasar Pemrograman,1.0
IF212004,Matematika Diskrit,3.0
201004-705-03-001,Olah Raga,2.0
201004-705-01-004,Kalkulus I,3.0
201004-705-01-001,Pengenalan Informatika,2.0
201004-705-01-002,Dasar Pemrograman,2.0
201004-705-02-002,Kewarganegaraan,1.0
201004-705-02-010,Bahasa Arab,2.0
201004-705-02-011,Bahasa Inggris I,2.0
201004-705-02-014,Praktikum Fisika Dasar,1.0
201004-705-01-003,Praktikum Dasar Pemrograman,1.0
201004-705-02-012,Bahasa Inggris II,2.0
