Angkatan,Kode MK,Nama Mata Kuliah
20091,UN8208,Ilmu TauhidAqidah
20091,IF8301,Algoritma dan Struktur Data
20091,IF8402L,Praktikum Pemrograman Berorientasi Objek
20091,IF8603,Kriptografi
20091,EL8201,Dasar Rangkaian Elektrik
20091,MAT8301,Probabilitas dan Statistika
20091,IF8603,Kriptografi
20091,EKT8801,Ekonomi Teknik
20091,IF8801,Kewirausahaan dan Etika Bisnis
20091,MAT8101,Kalkulus I
20091,MAT8303,Matematika Diskrit
20091,IF8402L,Praktikum Pemrograman Berorientasi Objek
20091,EL8301,Teknik Dijital
20091,MAT8201,Kalkulus II
20091,MAT8304,Logika Informatika
20091,IF8402L,Praktikum Pemrograman Berorientasi Objek
20091,IF8402L,Praktikum Pemrograman Berorientasi Objek
20091,IF8801,Kewirausahaan dan Etika Bisnis
20091,IF8801,Kewirausahaan dan Etika Bisnis
20091,EL8201,Dasar Rangkaian Elektrik
20091,MAT8303,Matematika Diskrit
20091,MAT8101,Kalkulus I
20091,IF8402L,Praktikum Pemrograman Berorientasi Objek
20091,MAT8201,Kalkulus II
20091,MAT8304,Logika Informatika
20091,MAT8101,Kalkulus I
20091,MAT8201,Kalkulus II
20091,MAT8201,Kalkulus II
20091,MAT8101,Kalkulus I
20091,IF8402L,Praktikum Pemrograman Berorientasi Objek
20091,FIS8101,Fisika Dasar
20091,FIS8101L,Praktikum Fisika Dasar
20091,FIS8101,Fisika Dasar
20091,KIM8101,Kimia Dasar
20091,FIS8101L,Praktikum Fisika Dasar
20091,KIM8101L,Praktikum Kimia Dasar
20091,EL8201,Dasar Rangkaian Elektrik
20091,FIS8101,Fisika Dasar
20091,MAT8101,Kalkulus I
20091,KIM8101,Kimia Dasar
20091,FIS8101L,Praktikum Fisika Dasar
20091,KIM8101L,Praktikum Kimia Dasar
20091,MAT8201,Kalkulus II
20091,MAT8303,Matematika Diskrit
20091,IF8301,Algoritma dan Struktur Data
20091,UN8201,Akhlak Tasawuf
20091,IF8402L,Praktikum Pemrograman Berorientasi Objek
20091,KIM8101,Kimia Dasar
20091,KIM8101L,Praktikum Kimia Dasar
20091,MAT8303,Matematika Diskrit
20091,IF8403,Organisasi dan  Arsitektur Komputer
20091,UN8201,Akhlak Tasawuf
20091,UN8201,Akhlak Tasawuf
20091,EKT8801,Ekonomi Teknik
20091,MAT8303,Matematika Diskrit
20091,EL8201,Dasar Rangkaian Elektrik
20091,IF8301,Algoritma dan Struktur Data
20091,MAT8303,Matematika Diskrit
20091,IF8301L,Praktikum Algoritma dan Struktur Data
20091,MAT8303,Matematika Diskrit
20091,IF8701L,Praktikum Sistem Multimedia
20091,IF8801,Kewirausahaan dan Etika Bisnis
20091,MAT8101,Kalkulus I
20091,MAT8303,Matematika Diskrit
20091,IF8402L,Praktikum Pemrograman Berorientasi Objek
20091,MAT8201,Kalkulus II
20091,IF8506,Interaksi Manusia dan Komputer
20091,MAT8101,Kalkulus I
20091,IF8201,Dasar Pemrograman
20091,UN8207,Ilmu Fiqih
20091,MAT8201,Kalkulus II
20091,UN8104,Bahasa Inggris
20091,MAT8201,Kalkulus II
20091,MAT8302,Matematika Teknik
20091,IF8404L,Praktikum Rekayasa Perangkat Lunak
20091,MAT8101,Kalkulus I
20091,IF8301,Algoritma dan Struktur Data
20091,MAT8303,Matematika Diskrit
20091,MAT8303,Matematika Diskrit
20091,IF8407,Grafika Komputer
20091,MAT8303,Matematika Diskrit
20091,MAT8101,Kalkulus I
20091,IF8402L,Praktikum Pemrograman Berorientasi Objek
20091,MAT8201,Kalkulus II
20091,IF8101,Pengantar Teknologi Informasi
20091,IF8507,Komunikasi Antar Personel
20091,MAT8201,Kalkulus II
20091,IF8301,Algoritma dan Struktur Data
20091,IF8301,Algoritma dan Struktur Data
20091,IF8301,Algoritma dan Struktur Data
20091,IF8402L,Praktikum Pemrograman Berorientasi Objek
20091,MAT8201,Kalkulus II
20091,EL8201,Dasar Rangkaian Elektrik
20091,IF8201L,Praktikum Dasar Pemrograman
20091,MAT8303,Matematika Diskrit
20091,IF8301L,Praktikum Algoritma dan Struktur Data
20091,IF8507,Komunikasi Antar Personel
20091,MAT8201,Kalkulus II
